택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10049,전북 무주군,1,10,175,3,천안 우편집중국,22,29,133,48,중부권 광역우편물류센터,41,57,318,15,울산 우편집중국,69,72,65,1,부산 기장군
001P10050,부산 금정구,1,4,60,3,부산 우편집중국,16,31,295,11,중부권 광역우편물류센터,43,54,225,56,안양 우편집중국,66,68,33,9,경기 안양시 만안구
001P10051,광주 서구,1,9,150,2,광주 우편집중국,21,31,199,52,중부권 광역우편물류센터,43,53,192,69,대구 우편집중국,65,68,54,8,대구 달성군
001P10052,광주 서구,1,9,150,2,광주 우편집중국,21,31,199,52,중부권 광역우편물류센터,43,48,100,26,청주 우편집중국,60,64,71,6,충북 진천군
001P10053,서울 관악구,1,3,49,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,50,248,14,동서울 우편집중국,62,66,84,1,서울 성동구
001P10054,경기 광주시,1,5,72,2,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,53,253,28,부천 우편집중국,65,69,70,5,인천 연수구
001P10055,충북 제천시,1,4,62,2,원주 우편집중국,16,29,256,4,중부권 광역우편물류센터,41,54,253,38,부천 우편집중국,66,68,36,3,경기 부천시
001P10056,강원 속초시,1,6,97,3,강릉 우편집중국,18,36,368,13,중부권 광역우편물류센터,59,64,100,76,청주 우편집중국,76,80,87,17,충북 보은군
001P10057,강원 태백시,1,12,227,1,원주 우편집중국,24,37,256,110,중부권 광역우편물류센터,59,71,248,99,동서울 우편집중국,83,87,79,7,서울 서초구
001P10058,경기 군포시,1,3,33,3,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,51,253,15,부천 우편집중국,63,65,36,1,경기 부천시
001P10059,경기 안산시 단원구,1,4,51,2,안양 우편집중국,16,27,225,18,중부권 광역우편물류센터,39,44,93,9,전주 우편집중국,56,62,121,2,전북 남원시
001P10060,전북 순창군,1,7,129,3,전주 우편집중국,19,24,93,34,중부권 광역우편물류센터,36,49,251,5,창원 우편집중국,61,65,75,1,경남 창원시 성산구
001P10061,충남 청양군,1,6,102,1,대전 우편집중국,18,21,53,18,중부권 광역우편물류센터,33,46,256,2,원주 우편집중국,58,61,54,1,강원 횡성군
001P10062,전북 순창군,1,7,129,3,전주 우편집중국,19,24,93,34,중부권 광역우편물류센터,36,47,216,6,안동 우편집중국,59,61,44,1,경북 예천군
001P10063,강원 평창군,1,5,84,1,원주 우편집중국,17,30,256,7,중부권 광역우편물류센터,42,55,253,50,부천 우편집중국,67,70,61,8,인천 남동구
001P10064,인천 옹진군,1,4,66,1,부천 우편집중국,16,29,253,14,중부권 광역우편물류센터,41,52,216,24,안동 우편집중국,64,69,97,2,경북 상주시
001P10065,경기 의왕시,1,4,59,4,안양 우편집중국,16,27,225,18,중부권 광역우편물류센터,39,52,256,25,원주 우편집중국,64,69,108,2,강원 화천군
001P10066,경기 화성시,1,7,110,2,수원 우편집중국,19,30,229,21,중부권 광역우편물류센터,42,47,93,42,전주 우편집중국,59,61,39,4,전북 익산시
001P10067,전남 구례군,1,7,128,1,광주 우편집중국,19,29,199,22,중부권 광역우편물류센터,41,53,248,36,동서울 우편집중국,65,69,79,1,서울 서초구
001P10068,광주 동구,1,5,71,1,광주 우편집중국,17,27,199,5,중부권 광역우편물류센터,39,52,261,15,의정부 우편집중국,64,67,55,2,경기 연천군
001P10069,경남 양산시,1,6,94,2,울산 우편집중국,18,34,318,16,중부권 광역우편물류센터,46,51,100,44,청주 우편집중국,63,66,65,8,충북 청주시 상당구
001P10070,전남 나주시,1,8,140,1,광주 우편집중국,20,30,199,33,중부권 광역우편물류센터,42,54,248,48,동서울 우편집중국,66,69,54,3,서울 강동구
001P10071,경남 창녕군,1,5,75,2,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,55,261,36,의정부 우편집중국,67,69,38,4,경기 양주시
001P10072,전남 진도군,1,3,30,1,영암 우편집중국,15,29,290,7,중부권 광역우편물류센터,41,46,93,30,전주 우편집중국,58,67,176,4,전북 부안군
001P10073,서울 강북구,1,4,64,3,의정부 우편집중국,16,29,261,11,중부권 광역우편물류센터,41,46,100,24,청주 우편집중국,58,61,58,4,충북 증평군
001P10074,서울 강북구,1,4,64,3,의정부 우편집중국,16,29,261,11,중부권 광역우편물류센터,41,52,216,24,안동 우편집중국,64,68,70,4,경북 의성군
001P10075,충남 천안시 서북구,1,3,30,2,천안 우편집중국,15,22,133,6,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,63,35,1,부산 북구
001P10076,서울 성동구,1,5,84,1,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,54,256,34,원주 우편집중국,66,68,30,4,강원 원주시
