episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
21,196.42662427983294,194.88513796674914,19693798,0.15427439,285,138,136,140,208,200,218,162,3.7169811320754715,3.49685534591195,4.9245283018867925,3.207547169811321,4.672955974842767,4.616352201257862,2.40251572327044,4.3081761006289305,3.949685534591195,2.490566037735849,2.547169811320755,1.4779874213836477,1.5408805031446542,2.2138364779874213,0.9874213836477987,2.981132075471698,1.3522012578616351,2.761006289308176,2.40251572327044,1.7358490566037736,1.9182389937106918,2.2264150943396226,3.6289308176100628,1.9245283018867925
22,210.98766034512215,209.0663944188164,14006405,0.18239093,240,137,121,147,177,185,192,117,3.753012048192771,3.4759036144578315,5.0,3.1506024096385543,4.656626506024097,4.5602409638554215,2.4216867469879517,4.283132530120482,4.0,2.463855421686747,2.572289156626506,1.4759036144578312,1.5421686746987953,2.2228915662650603,0.9518072289156626,2.927710843373494,1.3795180722891567,2.7409638554216866,2.4457831325301207,1.7771084337349397,1.8855421686746987,2.1867469879518073,3.6686746987951806,1.9759036144578312
23,189.44586668791496,187.87648583811637,13971560,0.15015052,280,128,120,139,170,200,211,132,3.884393063583815,3.468208092485549,5.063583815028902,3.1560693641618496,4.69364161849711,4.589595375722543,2.4508670520231215,4.294797687861272,4.0,2.46242774566474,2.560693641618497,1.4739884393063585,1.5260115606936415,2.2427745664739884,0.9653179190751445,2.9884393063583814,1.4046242774566473,2.739884393063584,2.4161849710982657,1.8150289017341041,1.8497109826589595,2.208092485549133,3.6184971098265897,1.9421965317919074
24,194.0040274866502,191.95274400821398,17809338,0.12842686,349,136,138,171,222,215,212,148,3.811111111111111,3.466666666666667,5.1722222222222225,3.183333333333333,4.661111111111111,4.633333333333334,2.5388888888888888,4.266666666666667,3.922222222222222,2.4555555555555557,2.5444444444444443,1.4333333333333333,1.5277777777777777,2.25,0.9666666666666667,2.988888888888889,1.3944444444444444,2.6555555555555554,2.4166666666666665,1.8722222222222222,1.7944444444444445,2.2333333333333334,3.6444444444444444,1.9722222222222223
25,199.11632048120822,197.21832639838698,16401096,0.16565408,300,129,136,137,188,213,213,141,3.8128342245989306,3.449197860962567,5.18716577540107,3.144385026737968,4.620320855614973,4.641711229946524,2.4919786096256686,4.219251336898396,3.93048128342246,2.4331550802139037,2.5240641711229945,1.4010695187165776,1.4973262032085561,2.283422459893048,0.9732620320855615,2.9518716577540105,1.358288770053476,2.7112299465240643,2.427807486631016,1.839572192513369,1.7914438502673797,2.192513368983957,3.593582887700535,1.967914438502674
26,194.48784654790524,194.0363730960204,14948487,0.17252038,247,107,113,161,179,200,195,131,3.731958762886598,3.4123711340206184,5.134020618556701,3.1082474226804124,4.587628865979381,4.65979381443299,2.4742268041237114,4.231958762886598,3.8608247422680413,2.4072164948453607,2.5,1.4123711340206186,1.4639175257731958,2.252577319587629,0.9536082474226805,3.0257731958762886,1.324742268041237,2.6443298969072164,2.4123711340206184,1.8865979381443299,1.7525773195876289,2.1597938144329896,3.5927835051546393,1.9329896907216495
27,179.80595797045186,179.44087491973272,13442279,0.14449129,353,120,122,144,192,200,193,130,3.671641791044776,3.4527363184079602,5.159203980099503,3.1492537313432836,4.646766169154229,4.656716417910448,2.472636815920398,4.27363184079602,3.870646766169154,2.4228855721393034,2.5223880597014925,1.427860696517413,1.4776119402985075,2.283582089552239,0.9800995024875622,3.08955223880597,1.3681592039800996,2.7512437810945274,2.383084577114428,1.8756218905472637,1.7860696517412935,2.144278606965174,3.601990049751244,1.945273631840796
28,202.76578872936486,202.03923407577778,11340900,0.19340694,214,74,94,105,155,176,197,128,3.6698564593301435,3.473684210526316,5.167464114832536,3.2966507177033493,4.6028708133971294,4.679425837320574,2.4545454545454546,4.320574162679426,3.827751196172249,2.478468899521531,2.488038277511962,1.4497607655502391,1.4736842105263157,2.3014354066985647,0.9712918660287081,3.138755980861244,1.354066985645933,2.8229665071770333,2.444976076555024,1.832535885167464,1.832535885167464,2.1196172248803826,3.583732057416268,1.985645933014354
29,194.28523283112392,193.18171696301542,19096652,0.15690115,345,115,137,155,221,268,227,122,3.6635944700460827,3.543778801843318,5.235023041474655,3.3179723502304146,4.691244239631336,4.783410138248848,2.4055299539170507,4.345622119815668,3.866359447004608,2.4838709677419355,2.5023041474654377,1.4930875576036866,1.4516129032258065,2.3364055299539173,0.9769585253456221,3.175115207373272,1.3824884792626728,2.838709677419355,2.423963133640553,1.847926267281106,1.8571428571428572,2.2119815668202767,3.5714285714285716,2.0046082949308754
30,195.45526445514122,193.4977666057724,10671654,0.19725002,186,106,120,136,138,158,164,128,3.611607142857143,3.6607142857142856,5.196428571428571,3.3125,4.674107142857143,4.727678571428571,2.424107142857143,4.401785714285714,3.9285714285714284,2.517857142857143,2.5,1.4866071428571428,1.4598214285714286,2.3482142857142856,0.9910714285714286,3.15625,1.3616071428571428,2.84375,2.40625,1.8303571428571428,1.8482142857142858,2.2276785714285716,3.549107142857143,1.9910714285714286
