택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10080,경기 고양시 일산서구,1,3,30,2,고양 우편집중국,15,28,268,16,중부권 광역우편물류센터,40,56,315,4,부산 금정구
001P10081,서울 구로구,1,5,73,3,안양 우편집중국,17,28,225,40,중부권 광역우편물류센터,40,45,106,4,충북 보은군
001P10082,충북 보은군,1,5,87,1,청주 우편집중국,17,22,100,21,중부권 광역우편물류센터,34,45,211,1,충북 괴산군
001P10083,경북 영주시,1,4,57,5,안동 우편집중국,16,27,216,12,중부권 광역우편물류센터,39,49,192,4,대구 중구
001P10084,울산 중구,1,3,30,2,울산 우편집중국,15,31,318,3,중부권 광역우편물류센터,43,54,228,5,경기 안산시 단원구
001P10085,서울 중랑구,1,3,48,3,의정부 우편집중국,15,28,261,8,중부권 광역우편물류센터,40,54,286,3,강원 철원군
001P10086,충북 음성군,1,6,97,3,청주 우편집중국,18,23,100,28,중부권 광역우편물류센터,35,45,204,1,전북 고창군
001P10087,서울 용산구,1,5,84,2,동서울 우편집중국,17,29,248,18,중부권 광역우편물류센터,41,54,253,3,인천 동구
001P10088,충남 서산시,1,7,128,3,천안 우편집중국,19,26,133,21,중부권 광역우편물류센터,38,49,225,2,경남 의령군
001P10089,부산 영도구,1,5,70,2,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,55,226,6,서울 중구
001P10090,서울 은평구,1,3,39,4,고양 우편집중국,15,28,268,16,중부권 광역우편물류센터,40,52,242,2,경북 영주시
001P10091,전북 익산시,1,3,39,2,전주 우편집중국,15,20,93,2,중부권 광역우편물류센터,32,43,226,1,서울 종로구
001P10092,충남 논산시,1,5,77,2,대전 우편집중국,17,20,53,24,중부권 광역우편물류센터,32,46,287,1,광주 남구
001P10093,부산 동래구,1,4,60,1,부산 우편집중국,16,31,295,23,중부권 광역우편물류센터,43,51,150,7,경남 산청군
001P10094,인천 옹진군,1,4,66,2,부천 우편집중국,16,29,253,23,중부권 광역우편물류센터,41,55,287,4,광주 남구
001P10095,경북 칠곡군,1,4,55,5,대구 우편집중국,16,26,192,29,중부권 광역우편물류센터,38,50,240,1,인천 미추홀구
001P10096,부산 북구,1,3,35,1,부산 우편집중국,15,30,295,8,중부권 광역우편물류센터,42,52,210,5,경기 수원시 장안구
001P10097,서울 강서구,1,3,36,3,부천 우편집중국,15,28,253,9,중부권 광역우편물류센터,40,53,255,4,인천 계양구
001P10098,대구 달성군,1,4,54,3,대구 우편집중국,16,26,192,29,중부권 광역우편물류센터,38,52,276,3,전남 나주시
001P10099,충북 청주시 상당구,1,4,65,1,청주 우편집중국,16,21,100,17,중부권 광역우편물류센터,33,39,118,1,충남 아산시
001P10100,대구 북구,1,3,30,1,대구 우편집중국,15,25,192,8,중부권 광역우편물류센터,37,52,300,3,부산 남구
001P10101,부산 사하구,1,5,70,1,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,56,242,7,서울 성북구
001P10102,경기 과천시,1,4,55,3,안양 우편집중국,16,27,225,26,중부권 광역우편물류센터,39,55,315,3,부산 연제구
001P10103,강원 강릉시,1,3,30,1,강릉 우편집중국,15,33,368,1,중부권 광역우편물류센터,45,55,190,10,전남 장성군
001P10104,경북 군위군,1,5,84,3,대구 우편집중국,17,27,192,46,중부권 광역우편물류센터,39,52,268,1,경기 고양시 일산서구
001P10105,서울 강서구,1,3,36,3,부천 우편집중국,15,28,253,9,중부권 광역우편물류센터,40,58,359,1,강원 인제군
001P10106,경기 용인시 처인구,1,4,64,1,성남 우편집중국,16,27,218,16,중부권 광역우편물류센터,39,47,167,1,경북 칠곡군
001P10107,전남 나주시,1,8,140,1,광주 우편집중국,20,30,199,47,중부권 광역우편물류센터,42,53,225,6,경남 의령군
001P10108,강원 고성군,1,6,97,1,강릉 우편집중국,18,36,368,17,중부권 광역우편물류센터,58,74,317,8,강원 양구군
001P10109,경북 군위군,1,5,84,3,대구 우편집중국,17,27,192,46,중부권 광역우편물류센터,39,48,173,3,경기 안성시
001P10110,서울 서대문구,1,3,42,2,고양 우편집중국,15,28,268,16,중부권 광역우편물류센터,40,47,146,4,전북 임실군
001P10111,서울 중랑구,1,3,48,3,의정부 우편집중국,15,28,261,8,중부권 광역우편물류센터,40,55,308,4,부산 영도구
001P10112,강원 철원군,1,4,55,1,의정부 우편집중국,16,29,261,21,중부권 광역우편물류센터,41,45,71,3,전북 무주군
001P10113,대전 동구,1,4,57,2,대전 우편집중국,16,19,53,15,중부권 광역우편물류센터,31,41,193,1,전북 순창군
001P10114,강원 화천군,1,6,108,2,원주 우편집중국,18,31,256,25,중부권 광역우편물류센터,43,53,197,3,경남 사천시
001P10115,경남 밀양시,1,5,74,1,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,57,255,5,인천 부평구
001P10116,경기 수원시 권선구,1,5,77,2,수원 우편집중국,17,28,229,9,중부권 광역우편물류센터,40,51,229,3,경기 수원시 영통구
001P10117,충남 청양군,1,6,102,2,대전 우편집중국,18,21,53,29,중부권 광역우편물류센터,33,46,261,1,전남 고흥군
001P10118,충남 천안시 동남구,1,3,30,2,천안 우편집중국,15,22,133,4,중부권 광역우편물류센터,34,48,274,1,인천 강화군
001P10119,전남 완도군,1,3,50,3,영암 우편집중국,15,29,290,11,중부권 광역우편물류센터,41,45,83,4,충북 영동군
001P10120,서울 관악구,1,3,49,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,53,308,4,부산 부산진구
001P10121,충남 논산시,1,5,77,2,대전 우편집중국,17,20,53,24,중부권 광역우편물류센터,32,40,164,2,충남 서천군
001P10122,충북 음성군,1,6,97,3,청주 우편집중국,18,23,100,28,중부권 광역우편물류센터,35,45,199,1,전북 부안군
001P10123,경기 군포시,1,3,33,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,49,214,2,경북 의성군
001P10124,전남 곡성군,1,6,92,3,광주 우편집중국,18,28,199,26,중부권 광역우편물류센터,40,45,106,3,전북 장수군
001P10125,서울 노원구,1,4,64,1,의정부 우편집중국,16,29,261,21,중부권 광역우편물류센터,41,61,410,5,강원 동해시
001P10126,인천 강화군,1,6,96,1,부천 우편집중국,18,31,253,43,중부권 광역우편물류센터,43,57,279,5,서울 서대문구
001P10127,대구 중구,1,3,30,1,대구 우편집중국,15,25,192,8,중부권 광역우편물류센터,37,40,64,2,세종특별자치시
001P10128,경기 성남시 중원구,1,3,43,4,성남 우편집중국,15,26,218,11,중부권 광역우편물류센터,38,52,271,4,경북 포항시 북구
001P10129,강원 양양군,1,4,68,2,강릉 우편집중국,16,34,368,7,중부권 광역우편물류센터,46,57,215,10,경기 성남시 중원구
001P10130,강원 양구군,1,6,108,2,원주 우편집중국,18,31,256,25,중부권 광역우편물류센터,43,50,133,6,충남 천안시 동남구
001P10131,경북 영주시,1,4,57,5,안동 우편집중국,16,27,216,12,중부권 광역우편물류센터,39,52,251,3,경남 창원시 마산회원구
001P10132,경기 동두천시,1,3,45,4,의정부 우편집중국,15,28,261,8,중부권 광역우편물류센터,40,51,215,5,경기 성남시 수정구
001P10133,충남 천안시 동남구,1,3,30,2,천안 우편집중국,15,22,133,4,중부권 광역우편물류센터,34,42,164,1,경북 성주군
001P10134,서울 마포구,1,3,42,2,고양 우편집중국,15,28,268,16,중부권 광역우편물류센터,40,54,290,7,경남 창원시 성산구
001P10135,경기 동두천시,1,3,45,4,의정부 우편집중국,15,28,261,8,중부권 광역우편물류센터,40,53,264,4,강원 횡성군
001P10136,광주 북구,1,4,57,4,광주 우편집중국,16,26,199,7,중부권 광역우편물류센터,38,53,300,4,부산 남구
001P10137,강원 동해시,1,5,72,1,강릉 우편집중국,17,35,368,10,중부권 광역우편물류센터,58,69,212,11,경기 안산시 상록구
001P10138,경남 양산시,1,6,94,3,울산 우편집중국,18,34,318,27,중부권 광역우편물류센터,46,60,276,12,경기 동두천시
001P10139,경남 김해시,1,3,39,1,부산 우편집중국,15,30,295,8,중부권 광역우편물류센터,42,54,242,6,경남 통영시
001P10140,경북 칠곡군,1,4,55,5,대구 우편집중국,16,26,192,29,중부권 광역우편물류센터,38,49,221,3,서울 서초구
001P10141,충남 천안시 서북구,1,3,30,2,천안 우편집중국,15,22,133,4,중부권 광역우편물류센터,34,46,242,2,서울 중랑구
001P10142,전남 강진군,1,3,50,2,영암 우편집중국,15,29,290,11,중부권 광역우편물류센터,41,46,106,7,충북 보은군
001P10143,경북 청도군,1,5,79,2,대구 우편집중국,17,27,192,46,중부권 광역우편물류센터,39,51,248,2,인천 연수구
001P10144,전남 보성군,1,5,84,2,순천 집중과,17,29,233,26,중부권 광역우편물류센터,41,54,261,4,전남 고흥군
001P10145,경기 광명시,1,3,50,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,48,210,2,경기 의왕시
001P10146,경기 의왕시,1,4,59,2,안양 우편집중국,16,27,225,26,중부권 광역우편물류센터,39,54,308,3,부산 영도구
001P10147,서울 중구,1,5,84,1,동서울 우편집중국,17,29,248,18,중부권 광역우편물류센터,41,51,192,5,경남 합천군
001P10148,경남 하동군,1,5,73,5,진주 우편집중국,17,27,202,18,중부권 광역우편물류센터,39,51,244,2,인천 옹진군
001P10149,전북 군산시,1,9,164,1,전주 우편집중국,21,26,93,38,중부권 광역우편물류센터,38,53,308,4,부산 부산진구
001P10150,경남 창녕군,1,5,75,4,창원 우편집중국,17,30,251,15,중부권 광역우편물류센터,42,55,255,3,인천 부평구
001P10151,전남 순천시,1,3,36,3,순천 집중과,15,27,233,9,중부권 광역우편물류센터,39,55,310,1,전남 강진군
001P10152,강원 삼척시,1,5,82,1,강릉 우편집중국,17,35,368,10,중부권 광역우편물류센터,58,61,64,10,세종특별자치시
001P10153,서울 서초구,1,5,79,1,동서울 우편집중국,17,29,248,18,중부권 광역우편물류센터,41,61,410,5,강원 동해시
001P10154,부산 기장군,1,4,65,2,울산 우편집중국,16,32,318,13,중부권 광역우편물류센터,44,52,165,8,충남 당진시
